Date,Adj Close,Close,High,Low,Open,Volume
1980-05-02,2.558222532,3.665838957,3.665838957,3.665838957,3.665838957,0
1980-05-05,2.576895475,3.692596912,3.746112108,3.692596912,0,14015
1980-05-06,2.632913351,3.772870064,3.826385975,3.772870064,0,5606
1980-05-07,2.632913351,3.772870064,3.772870064,3.772870064,3.772870064,0
1980-05-08,2.642250299,3.786248922,3.839765072,3.786248922,0,7474
1980-05-09,2.651587486,3.799628019,3.85314393,3.799628019,0,15883
1980-05-12,2.707607031,3.879901886,3.933418036,3.879901886,0,41109
1980-05-13,2.707607031,3.879901886,3.933418036,3.879901886,0,1869
1980-05-14,2.707607031,3.879901886,3.933418036,3.879901886,0,7474
1980-05-15,2.707607031,3.879901886,3.879901886,3.879901886,3.879901886,0
1980-05-16,2.642250299,3.786248922,3.839765072,3.786248922,0,55124
1980-05-19,2.670259953,3.826385975,3.879901886,3.826385975,0,29898
1980-05-20,2.726279736,3.90666008,3.960175991,3.90666008,0,934
1980-05-21,2.744953394,3.933418036,3.986933947,3.933418036,0,5606
1980-05-22,2.744953394,3.933418036,3.986933947,3.933418036,0,3737
1980-05-23,2.772963047,3.973555088,4.027070999,3.973555088,0,13080
1980-05-27,2.800973415,4.013691902,4.067207813,4.013691902,0,5606
1980-05-28,2.763626575,3.960175991,4.013691902,3.960175991,0,4672
1980-05-29,2.763626575,3.960175991,3.960175991,3.960175991,3.960175991,0
1980-05-30,2.754289627,3.946796894,4.000312805,3.946796894,0,6540
1980-06-02,2.763626575,3.960175991,4.013691902,3.960175991,0,934
1980-06-03,2.763626575,3.960175991,4.013691902,3.960175991,0,18686
1980-06-04,2.772963047,3.973555088,4.027070999,3.973555088,0,8409
1980-06-05,2.772963047,3.973555088,3.973555088,3.973555088,3.973555088,0
1980-06-06,2.791636705,4.000312805,4.053829193,4.000312805,0,2803
1980-06-09,2.819646597,4.040450096,4.093966007,4.040450096,0,8409
1980-06-10,2.828983068,4.053829193,4.107345104,4.053829193,0,2803
1980-06-11,2.828983068,4.053829193,4.053829193,4.053829193,4.053829193,0
1980-06-12,2.828983068,4.053829193,4.053829193,4.053829193,4.053829193,0
1980-06-13,2.828983068,4.053829193,4.053829193,4.053829193,4.053829193,0
1980-06-16,2.838319063,4.067207813,4.120724201,4.067207813,0,7474
1980-06-17,2.819646597,4.040450096,4.093966007,4.040450096,0,934
1980-06-18,2.819646597,4.040450096,4.040450096,4.040450096,4.040450096,0
1980-06-19,2.819646597,4.040450096,4.093966007,4.040450096,0,1869
1980-06-20,2.819646597,4.040450096,4.093966007,4.040450096,0,1869
1980-06-23,2.819646597,4.040450096,4.040450096,4.040450096,4.040450096,0
1980-06-24,2.632913351,3.772870064,3.826385975,3.772870064,0,1869
1980-06-25,2.632913351,3.772870064,3.772870064,3.772870064,3.772870064,0
1980-06-26,2.705738544,3.877226114,3.933418036,3.877226114,0,890
1980-06-27,2.705738544,3.877226114,3.877226114,3.877226114,3.877226114,0
1980-06-30,2.617509604,3.750794888,3.806987047,3.750794888,0,8008
1980-07-01,2.588098526,3.708651066,3.764842987,3.708651066,0,890
1980-07-02,2.588098526,3.708651066,3.764842987,3.708651066,0,3559
1980-07-03,2.578295469,3.694602966,3.750794888,3.694602966,0,3559
1980-07-07,2.558688641,3.666507959,3.694602966,3.666507959,0,890
1980-07-08,2.548885345,3.652460098,3.694602966,3.652460098,0,9788
1980-07-09,2.558688641,3.666507959,3.694602966,3.666507959,0,53389
1980-07-10,2.744953394,3.933418036,3.975562096,3.933418036,0,5339
1980-07-11,2.744953394,3.933418036,3.933418036,3.933418036,3.933418036,0
1980-07-14,2.656723261,3.806987047,3.849129915,3.806987047,0,7118
1980-07-15,2.637116671,3.778891087,3.806987047,3.778891087,0,1780
1980-07-16,2.637116671,3.778891087,3.778891087,3.778891087,3.778891087,0
1980-07-17,2.656723261,3.806987047,3.835083008,3.806987047,0,4449
1980-07-18,2.637116671,3.778891087,3.806987047,3.778891087,0,890
1980-07-21,2.627312899,3.764842987,3.792938948,3.764842987,0,2669
1980-07-22,2.627312899,3.764842987,3.764842987,3.764842987,3.764842987,0
1980-07-23,2.59790206,3.722698927,3.764842987,3.722698927,0,890
1980-07-24,2.59790206,3.722698927,3.722698927,3.722698927,3.722698927,0
1980-07-25,2.588098526,3.708651066,3.736747026,3.708651066,0,890
1980-07-28,2.568491459,3.680555105,3.722698927,3.680555105,0,3559
1980-07-29,2.568491459,3.680555105,3.680555105,3.680555105,3.680555105,0
1980-07-30,2.568491459,3.680555105,3.722698927,3.680555105,0,890
1980-07-31,2.568491459,3.680555105,3.680555105,3.680555105,3.680555105,0
1980-08-01,2.588098526,3.708651066,3.736747026,3.708651066,0,890
1980-08-04,2.607705116,3.736747026,3.764842987,3.736747026,0,2669
1980-08-05,2.588098526,3.708651066,3.750794888,3.708651066,0,1780
